country_name,year,end_year,Region,Average Term Population,Freedom of Expression,Religious Freedom,Conflict,Anti-Elitism Polarization,People-Centrism Polarization,Political Opponents Polarization,Political Pluralism Polarization,Minority Rights Polarization,Rejection of Political Violence Polarization,Immigration Polarization,LGBT Social Equality Polarization,Cultural Superiority Polarization,Religious Principles Polarization,Gender Equality Polarization,Working Women Polarization,Economic Left-Right Scale Polarization,Welfare Polarization,Clientelism Polarization,GDP per Capita,Gini Index
Albania,1991,1992,Eastern Europe and Central Asia,3256914.5,0.7605,0.762,0.0,0.5040605578888173,0.1735099343221021,0.6613372584483961,0.455609791901935,0.0021102537270804,0.3693405230794609,0.003638731520933,0.002499003816685,0.0081985039103675,0.1619353554995059,0.0053111594523872,0.0008616376796007,0.5754270999141955,0.0054906057662271,0.0002566223456207,1866.052851544835,0.4676299
Albania,1992,1996,Eastern Europe and Central Asia,3207535.8,0.7585999999999999,0.907,0.0,0.4967271658821934,0.1709856019864065,0.8294369136356269,0.0077244093299348,0.0020795524203189,0.007527179163895,0.0035857929518816,0.2149218962258114,0.0080792268868004,0.1595794174618548,0.0052338893433408,0.0008491020293236,0.4587949135488969,0.0069982851309525,0.0002528888413251,2363.106056110558,0.4676299
Albania,1996,1997,Eastern Europe and Central Asia,3158157.0,0.754,0.907,0.0,0.2304536508029606,0.0932900648101076,0.4946816449717783,0.2667309713541105,0.0333762956452591,0.1097367429774072,0.0026108443415947,0.0880419612417022,0.1225913340455621,0.1016342594772015,0.0058859675481034,0.0699290707624278,0.2091386356578087,0.0667583423261466,0.0041738313905693,2848.48561205065,0.4676299
Albania,1997,2005,Eastern Europe and Central Asia,3073760.111111111,0.7938888888888889,2.291,0.0,0.3243123046464254,0.2162019763511816,0.718588260207435,0.1292088022400687,0.0018016342547102,0.0126247030913497,0.0031065758906996,0.0013553655977128,0.0069994926641973,0.1382527038207101,0.004534415306963,0.0007356252657188,0.324293710889709,0.1031434458390353,0.0002190919520535,4268.57308592434,0.47156661499999997
Albania,2005,2009,Eastern Europe and Central Asia,2969776.8,0.8122,2.609,0.0,0.386331529983186,0.3359936889882659,0.6460751575300812,0.0131300573207561,0.004263513511426,0.1787902921478504,0.0058111377521511,0.1285669522682381,0.1171029034186985,0.2100786820503465,0.1903807747439696,0.0402966499610008,0.3746600890021658,0.0799076277030155,0.1350138393545324,7351.470628469293,0.46146093
Albania,2009,2013,Eastern Europe and Central Asia,2908245.6,0.8081999999999999,2.609,0.0,0.3984318767189747,0.263633715945744,0.2824335271551916,0.0132784481330089,0.1311824033380103,0.1624117007931466,0.0194253618873686,0.2066404657256274,0.0364549716998458,0.1786787941124378,0.0415530831319218,0.0036107138479716,0.3967882157419334,0.0016921598572922,0.0975575435845423,9948.516375197978,0.46326974
Albania,2013,2017,Eastern Europe and Central Asia,2882891.4,0.7664,2.5136,0.0,0.4669085494897186,0.2636886728775694,0.2983895645939521,0.1155108868907635,0.1329140676042163,0.2159257912507743,0.0332124142898597,0.3022659694908655,0.1519063865695094,0.1826267878468381,0.1463536056597936,0.0039324502616208,0.3037251559421032,0.0030811430120568,0.1797475554059333,11667.00685416494,0.4815732633333334
Albania,2017,2023,Eastern Europe and Central Asia,2836528.833333333,0.7267142857142855,2.181714285714286,0.0,0.7803761023916114,0.1930900570402033,0.4258332307608574,0.1101937765150419,0.1325980611864632,0.3175976814219116,0.0050363937763109,0.143875422960763,0.1608364230469908,0.1636930643399906,0.2120578152617294,0.1031032201827789,0.2919890322952156,0.0032966599434328,0.1505893486845751,16234.9981078455,0.47612254
Algeria,1997,2002,Middle East and North Africa,30817999.5,0.6211666666666668,-1.2486666666666666,1.0,0.3888878669790384,0.3435942677052633,0.2343406072044491,0.2876899265321992,0.3171249596582137,0.2693306226861711,0.4667537946632881,0.3584629108560916,0.2198920107630283,0.4395093954392408,0.0994058171662415,0.2732049816209668,0.4074504136076636,0.1688317432097855,0.4397166742271052,9036.441354173496,0.5311434733333334
Algeria,2002,2007,Middle East and North Africa,32961520.83333333,0.6661666666666667,-1.095,0.0,0.3267294079650182,0.3075879645870588,0.2002199194790122,0.2199911882908086,0.3081848800895992,0.0070997936217603,0.5051225447838948,0.287402699996096,0.1656702898555948,0.4870880226996985,0.1144766978995862,0.3046946467930461,0.3539952534449156,0.1215108049980877,0.3840207456789358,11778.865574544034,0.51242255
Algeria,2007,2012,Middle East and North Africa,35709041.666666664,0.6685,-1.09,0.0,0.4403724661909738,0.3200560913870891,0.2333565723306553,0.307142074206796,0.3871743225775824,0.3309184270077011,0.49903138163654,0.347876677976801,0.2516773393586671,0.4495959335632737,0.0042681693280671,0.1949817537441139,0.4523472557862774,0.1610680472574285,0.4459949459158178,13986.867148341516,0.495515596
Algeria,2012,2017,Middle East and North Africa,39352719.0,0.6366666666666666,-0.9813333333333332,0.0,0.0111505001592848,0.0008668305410089,0.011395271455056,0.0018523028830446,0.0089706356872766,0.0006976757552736,0.0084299493292973,0.0042750164116246,0.0074058946678521,0.0578228854413846,0.0042602203103235,0.0003697980934604,0.3135304507745895,0.1504238703488786,0.0126074559037218,14040.842030964384,0.48798555
Algeria,2017,2018,Middle East and North Africa,41808794.5,0.5774999999999999,-1.109,0.0,0.3830778647909087,0.2244742382113277,0.1396570321341051,0.2061771870665048,0.22295538227892,0.0006204389278752,0.3710030356833429,0.2789810140346652,0.1636727678881573,0.1757255711438099,0.0046416181548829,0.1570192496256106,0.3615265631493443,0.1538598751196641,0.153009853470615,13610.34369263495,0.48798555
